ID,Categories,Brand,Products Name,Description,Features,SKU,Price KWD,Image Path
1,Machinery,Berry,Berry Handi Trash-Bag,"A durable, large-capacity waste collection bag, ideal for janitorial carts.","Material: Heavy-duty vinyl/nylon; Capacity: 100L; Features: Rip-resistant, waterproof, easy to clean, fits most standard janitorial carts, reinforced handles.",BHY001,15,.\images\BHY001.jpg
2,Machinery,BISSELL,BISSELL BG355,Commercial-grade vacuum cleaner for efficient dry vacuuming in various settings.,"Type: Upright Vacuum; Motor: 1000W; Cleaning Path: 35cm; Filtration: HEPA; Cord Length: 12m; Features: Durable construction, strong suction, ideal for carpets and hard floors, lightweight design.",BBG355,180,.\images\BBG355.jpg
3,Chemicals,Bona,Bona_Hardwood Floor Polish (1L),Protective polish designed to restore shine and protect hardwood floors from wear.,"Form: Liquid; Volume: 1L; Finish: Satin/Gloss; Features: Non-toxic, quick-drying, fills micro-scratches, enhances natural wood grain, lasts for months.",HFP1000,9.5,.\images\HFP1000.jpg
4,Waste,Brute,Brute_Industrial Waste Bins (240L),"Large, robust wheeled bins for industrial and commercial waste collection.","Capacity: 240L; Material: HDPE; Features: Heavy-duty wheels, reinforced rim, UV stabilized, suitable for outdoor and heavy use.",IWB240,35,.\images\IWB240.jpg
5,Chemicals,Clorox,Clorox_Household Disinfectant Spray (750ml),Ready-to-use spray for disinfecting and cleaning common household surfaces.,"Form: Aerosol Spray; Volume: 750ml; Scent: Fresh; Features: Kills 99.9% of viruses and bacteria, multi-surface safe, eliminates odors, no wiping needed for disinfection.",HDS750,3,.\images\HDS750.jpg
6,Chemicals,Dettol,Dettol_Hand Sanitizer (Standard Bottle - 500ml),Convenient size hand sanitizer bottle for personal or small office use.,"Form: Gel; Volume: 500ml; Alcohol Content: 60%; Features: Kills 99.9% of germs instantly, non-sticky formula, moisturizing, ideal for desks, reception areas, and personal use.",HSS500,4.5,.\images\HSS500.jpg
7,Chemicals,Diversey,Diversey_Multi-Surface Spray (500ml),"Versatile cleaning spray effective on multiple hard surfaces, leaving a fresh scent.","Type: Spray; Volume: 500ml; Scent: Citrus; Features: All-purpose, removes dirt and grime, non-abrasive, safe for countertops, tiles, plastics.",MSS500,2.8,.\images\MSS500.jpg
8,Chemicals,Febreze,Febreze_Odor Neutralizer Sprays (300ml),"Effectively eliminates unpleasant odors, leaving a clean and fresh environment.","Type: Aerosol Spray; Volume: 300ml; Scent: Linen Fresh; Features: Long-lasting odor elimination, non-masking, safe for fabrics and air, ideal for commercial spaces.",ONS300,2.5,.\images\ONS300.jpg
9,Waste,Glad,Glad_Household - 30L Trash Bags (50 count),Durable household trash bags with drawstring closure for convenient waste disposal.,"Capacity: 30L; Quantity: 50 count; Material: High-density polyethylene; Features: Drawstring closure, tear-resistant, ideal for kitchen and office waste.",TBH030,2.5,.\images\TBH030.jpg
10,Waste,Harmony Enterprises,Harmony Enterprises_Recycling Compactor (Small),Compact recycling compactor designed for efficient waste volume reduction in small businesses.,"Compaction Ratio: 4:1; Bale Weight: 10-20kg; Power: Electric; Features: Reduces waste volume, saves space, ideal for cardboard, plastics, and cans, easy to operate.",RCS001,1200,.\images\RCS001.jpg
